Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Fully specified name:fr,Short name:fr,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1200
,,,"Hypertension, Hypertensive Emergency",Hypertensive Emergency,,,,,Misc,N/A,,,"Hypertension, Hypertensive Emergency 12 Months;Hypertension, Hypertensive Emergency Cause;",,,,,,,,
,,,"Hypertension, Lipids",Lipids,,,,,Misc,Text,,,,,,,,,,,
,,,"Hypertension, Primary Hypertension",Primary / Essential Hypertension," Poorly understood mechanism, but risk factors above ",,,,Misc,Text,,,,,,,,,,,
,,,Primary Renal Disease,,,,,,Misc,N/A,,,,,,,,,,,
,,,Pain Due To Other Illness,,,,,,Misc,N/A,,,,,,,,,,,
,,,Endocrine Hypothyroidism,,,,,,Misc,N/A,,,,,,,,,,,
,,,"Hypertension, Secondary Hypertension",Secondary Hypertension,,,,,Misc,Coded,,Primary Renal Disease;Obstructive Sleep Apnea Syndrome;Poisoning by Oral Contraceptive;Drug-induced;Pain Due To Other Illness;Endocrine Hypothyroidism;Hyperthyroidism;Hyperparathyroidism;Coarctation of Aorta;Renovascular Hypertension;,,,,,,,,,
,,,"Hypertension, Alcohol Abuse",Alcohol Abuse,,,,,Misc,Boolean,,,,,,,,,,,
,,,"Hypertension, Alcohol Abuse Details",Alcohol Abuse Details,,,,,Misc,Text,,,,,,,,,,,
,,,"Hypertension, Smokes Packs Per Day",Smokes Packs Per Day,,,,,Misc,Numeric,,,,TRUE,,,,,,,
,,,HCTZ,,,,,,Misc,N/A,,,,,,,,,,,
,,,Calcium CH Blocker,,,,,,Misc,N/A,,,,,,,,,,,
,,,Current Home Medications,Current Home Medications,,,,,Misc,Coded,,HCTZ;Angiotensin-converting enzyme inhibitors drug class;Beta blockers;Calcium CH Blocker;Nitroglycerin;Digoxin,,,,,,,,,
,,,"Orthopaedic, Inspection",Inspection,,,,,Misc,Text,,,,,,,,,,,
,,,"Orthopaedic, Palpation",Palpation,,,,,Misc,Text,,,,,,,,,,,
,,,"Orthopaedic, Special Tests","Special Tests",,,,,Misc,Text,,,,,,,,,,,
,,,"Orthopaedic, Range of Motion","Range of Motion",,,,,Misc,Text,,,,,,,,,,,
,,,"Orthopaedic, Radiographic Examination",Radiographic Examination,,,,,Misc,Text,,,,,,,,,,,
